VJAVKW_DT,VJAVKW,TTOKM
2020-04-13,202015,40992.0
2020-04-20,202016,39173.0
2020-04-27,202017,42157.0
2020-05-04,202018,35353.0
2020-05-11,202019,48091.0
2020-05-18,202020,43825.0
2020-05-25,202021,43786.0
2020-06-01,202022,48179.0
2020-06-08,202023,44491.0
2020-06-15,202024,43077.0
2020-06-22,202025,53692.0
2020-06-29,202026,48063.0
2020-07-06,202027,53689.0
2020-07-13,202028,48792.0
2020-07-20,202029,54533.0
2020-07-27,202030,50766.0
2020-08-03,202031,45756.0
2020-08-10,202032,45308.0
2020-08-17,202033,52570.0
2020-08-24,202034,49933.0
2020-08-31,202035,51269.0
2020-09-07,202036,44800.0
2020-09-14,202037,51818.0
2020-09-21,202038,58018.0
2020-09-28,202039,61639.0
2020-10-05,202040,54314.0
2020-10-12,202041,53025.0
2020-10-19,202042,58642.0
2020-10-26,202043,55740.0
2020-11-02,202044,57473.0
2020-11-09,202045,56348.0
2020-11-16,202046,54448.0
2020-11-23,202047,52110.0
2020-11-30,202048,53955.0
2020-12-07,202049,49857.0
2020-12-14,202050,53076.0
2020-12-21,202051,52822.0
2020-12-28,202052,32768.0
2021-01-04,202053,27848.0
2021-01-04,202101,50246.0
2021-01-11,202102,54525.0
2021-01-18,202103,60546.0
2021-01-25,202104,63931.0
2021-02-01,202105,58994.0
2021-02-08,202106,49094.0
2021-02-15,202107,56441.0
2021-02-22,202108,61162.0
2021-03-01,202109,56258.0
2021-03-08,202110,57172.0
2021-03-15,202111,58102.0
2021-03-22,202112,59647.0
2021-03-29,202113,51530.0
2021-04-05,202114,57068.0
2021-04-12,202115,58334.0
2021-04-19,202116,63356.0
2021-04-26,202117,61182.0
2021-05-03,202118,54543.0
2021-05-10,202119,56998.0
2021-05-17,202120,65499.0
2021-05-24,202121,61148.0
2021-05-31,202122,60095.0
2021-06-07,202123,62064.0
2021-06-14,202124,62698.0
2021-06-21,202125,60022.0
2021-06-28,202126,53555.0
2021-07-05,202127,59182.0
2021-07-12,202128,55966.0
2021-07-19,202129,60480.0
2021-07-26,202130,56332.0
2021-08-02,202131,54125.0
2021-08-09,202132,47934.0
2021-08-16,202133,58661.0
2021-08-23,202134,58131.0
2021-08-30,202135,48914.0
2021-09-06,202136,56979.0
2021-09-13,202137,56829.0
2021-09-20,202138,59415.0
2021-09-27,202139,53166.0
2021-10-04,202140,57833.0
2021-10-11,202141,49483.0
2021-10-18,202142,58220.0
2021-10-25,202143,55952.0
2021-11-01,202144,51289.0
2021-11-08,202145,56988.0
2021-11-15,202146,59244.0
2021-11-22,202147,59591.0
2021-11-29,202148,55787.0
2021-12-06,202149,55866.0
2021-12-13,202150,51516.0
2021-12-20,202151,45682.0
2021-12-27,202152,34989.0
2022-01-03,202153,6281.0
2022-01-03,202201,52908.0
